X,gene_id,gene_name,gene_biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,M.56.2,X1.56.R,X2.56.R,X3.56.R,X4.56.R,X5.56.R,M.56.1,M.56.3,M.56.4,M.56.5,M.56.6,seqnames,start,end,width,strand,gene_name,gene_id,EnrichNumber,MeanMethDiff,MeanBeta.WildType_1,MeanBeta.WildType_2,MeanBeta.WildType_3,MeanBeta.Mutation_1,MeanBeta.Mutation_2,MeanBeta.Mutation_3
  40,ENSDARG00000075685,tlr7,protein_coding,   24.48118,-8.062593,1.0336345,-7.800236,6.179133e-15,3.348781e-12,0.000000e+00,  86.310188,  68.605560,  32.4816273,  24.9870533,  56.9085698,    0.000000,    0.000000,   0.0000000,   0.000000,    0.000000,9,54037006,54126873, 89868,+,tlr7,ENSDARG00000075685, 3,  7.6933593,0.651282051,0.618538324,0.723931624,0.645833333,0.729636591,0.685662526
  46,ENSDARG00000036031,sept5b,protein_coding,  139.12241,-5.363913,0.6971587,-7.693962,1.426469e-14,6.722390e-12,2.367688e+01, 349.666914, 364.411351, 339.5103424, 278.6435036, 155.6415101,    3.258713,   13.277329,   2.2599628,   0.000000,    0.000000,10,43936252,43966028, 29777,-,sept5b,ENSDARG00000036031, 1, 15.2267574,0.750000000,0.944444444,0.600000000,0.971014493,0.859649123,0.944444444
  47,ENSDARG00000107408,TCF4,protein_coding,  107.29855,-3.438839,0.4485785,-7.666081,1.773311e-14,8.179114e-12,3.504179e+01, 206.923142, 278.877146, 223.5045307, 208.9826277, 142.6142472,   42.363272,   13.277329,   8.2865304,  12.077612,    8.335864,21, 1318767, 1459974,141208,+,TCF4,ENSDARG00000107408, 1,-29.9699491,0.947019868,0.907407407,0.957446809,0.508771930,0.646341463,0.746268657
  57,ENSDARG00000077847,olfm2a,protein_coding,  111.16269,-4.352259,0.5856565,-7.431419,1.074390e-13,4.015626e-11,1.799443e+01, 344.134210, 302.042660, 195.6631358, 168.8519057, 145.3568288,    3.258713,   29.618657,   7.5332094,   0.000000,    8.335864,3,54010708,54238460,227753,+,olfm2a,ENSDARG00000077847, 1, 18.8139059,0.217391304,0.666666667,0.343750000,0.521739130,0.494117647,0.593750000
  58,ENSDARG00000102975,nsg2,protein_coding, 1015.81914,-3.427074,0.4611077,-7.432264,1.067547e-13,4.015626e-11,3.987187e+02,2922.374430,2851.140154,1813.5575238,1560.5550566, 904.3663078,  250.920916,  153.199951,  66.2922428, 200.488359,   52.396861,21,41256771,41307748, 50978,-,nsg2,ENSDARG00000102975, 1,-41.1704009,0.778947368,0.888888889,0.733333333,0.000000000,0.461538462,0.451612903
  60,ENSDARG00000016598,ckmt1,protein_coding,  132.66598,-4.803653,0.6498256,-7.392219,1.443981e-13,5.217102e-11,2.935934e+01, 460.321001, 171.959391, 464.7966191, 181.7240241, 120.6735938,    8.146783,    4.085332,   3.7666047,  14.493134,    0.000000,25,21827777,21847553, 19777,+,ckmt1,ENSDARG00000016598, 2,-37.5936723,0.300000000,0.420454545,0.554440154,0.078125000,0.171404682,0.030612245
  86,ENSDARG00000102385,CR774179.2,antisense,  204.67604,-2.387655,0.3476179,-6.868618,6.482676e-12,1.634087e-09,7.671311e+01, 348.560373, 312.734436, 377.4055742, 552.7439065, 237.9189604,  131.977885,   74.557309,  54.9924287,  33.817313,   50.015185,10,21814475,21845727, 31253,-,CR774179.2,ENSDARG00000102385, 1,-38.2722250,0.923076923,0.872340426,1.000000000,0.507692308,0.540540541,0.593220339
  91,ENSDARG00000060482,mid1,protein_coding,  104.14642,-2.484450,0.3625712,-6.852308,7.266783e-12,1.739391e-09,2.935934e+01, 154.915721, 160.376634, 156.9945319, 192.3245921, 277.0007493,   65.174264,   17.362661,  42.9392936,  24.155224,   25.007593,9,53909566,54003502, 93937,-,mid1,ENSDARG00000060482, 7,  0.8815929,0.618716631,0.678756987,0.620153061,0.658581156,0.696919484,0.559472056
 102,ENSDARG00000090676,si:ch211-166i24.1,protein_coding,   27.00342,-7.239624,1.0775624,-6.718520,1.835800e-11,3.901614e-09,0.000000e+00, 133.891445,  72.169485,  28.6147669,  27.2586036,  33.5966255,    0.000000,    0.000000,   1.5066419,   0.000000,    0.000000,21,31432308,31590859,158552,+,si:ch211-166i24.1,ENSDARG00000090676, 1,-40.0802568,0.727272727,0.958333333,0.714285714,0.166666667,0.409090909,0.722222222
 103,ENSDARG00000052604,cpeb2,protein_coding,   87.98689,-2.208623,0.3294371,-6.704233,2.024665e-11,4.220258e-09,2.462396e+01, 102.908301, 110.481681, 150.8075553, 181.7240241, 221.4634704,   40.733915,   20.426660,  39.1726889,  35.025075,   40.488483,23, 2134344, 2161478, 27135,+,cpeb2,ENSDARG00000052604, 1, 15.7394651,0.649572650,0.900000000,0.700000000,0.859504132,0.857142857,0.929292929
 104,ENSDARG00000074526,zbtb16b,protein_coding,   76.04694, 2.319159,0.3458864, 6.704974,2.014426e-11,4.220258e-09,7.671311e+01,  15.491572,  31.184345,  28.6147669,  22.7155030,  21.2550080,  167.823730,  151.157285, 145.3909416,  79.712239,   96.457858,15,18253542,18363475,109934,-,zbtb16b,ENSDARG00000074526, 2,-22.5403226,0.225641026,0.157894737,0.428571429,0.054347826,0.050000000,0.102272727
 121,ENSDARG00000034105,mtus1b,protein_coding,   77.30341,-2.597620,0.3967870,-6.546636,5.884742e-11,1.054293e-08,3.504179e+01, 236.799746, 106.917756,  95.1247656, 148.4079530, 123.4161754,   13.034853,   15.319995,  23.3529492,  37.440597,   15.480891,1,16546733,16619858, 73126,+,mtus1b,ENSDARG00000034105, 1, 27.4723487,0.000000000,0.133333333,0.285714286,0.583333333,0.448275862,0.102564103
 127,ENSDARG00000062693,nrxn3b,protein_coding,  107.15829,-4.434174,0.6893657,-6.432252,1.257267e-10,2.146065e-08,2.651811e+01, 386.182763, 305.606585, 171.6886014, 183.2383909,  69.9358327,   13.034853,   12.255996,   0.7533209,   0.000000,    9.526702,20, 5561042, 5965307,404266,+,nrxn3b,ENSDARG00000062693, 6,  1.0491430,0.608249168,0.742865073,0.700104520,0.689676270,0.686258922,0.721751760
 158,ENSDARG00000097615,si:ch211-108d22.2,protein_coding,  513.05105, 2.168306,0.3464788, 6.258120,3.896451e-10,5.346030e-08,6.222285e+02, 107.334464,  99.789905, 245.9323209, 227.1550301, 201.5797532,  381.269445,  620.970467, 925.0781154,1334.576122,  877.647420,3,14155090,14189022, 33933,+,si:ch211-108d22.2,ENSDARG00000097615, 6,-49.8506926,0.885634661,0.510670732,0.458211233,0.205720523,0.175922916,0.182756363
 169,ENSDARG00000074255,micu3b,protein_coding,  103.05967,-2.348797,0.3798258,-6.183880,6.254503e-10,8.022788e-08,6.913650e+01, 188.111947, 164.831540, 133.0199975, 284.7009710, 146.7281197,   43.992628,   17.362661,  29.3795167,  30.194030,   26.198430,14,30453342,30492763, 39422,-,micu3b,ENSDARG00000074255, 1, 16.7032967,0.812500000,0.837209302,0.750000000,1.000000000,1.000000000,0.939393939
 171,ENSDARG00000099252,ipcef1,protein_coding,   36.03103, 3.317959,0.5371281, 6.177221,6.523986e-10,8.270583e-08,6.440113e+01,   9.958868,   1.781963,   6.9603487,   2.2715503,   9.5990359,  110.796249,   51.066650,  33.8994423,  57.972537,   47.633510,20, 4219978, 4250762, 30785,+,ipcef1,ENSDARG00000099252, 1,-34.4239261,1.000000000,0.913043478,1.000000000,0.559322034,0.714285714,0.653846154
 172,ENSDARG00000071011,cdk5r2a,protein_coding,   64.33856,-3.978187,0.6450348,-6.167399,6.942247e-10,8.749652e-08,1.799443e+01, 204.710060, 179.978222, 116.0058118, 114.3346985,  43.1956614,    0.000000,    1.021333,   5.2732466,  14.493134,   10.717540,6,13740899,13744681,  3783,+,cdk5r2a,ENSDARG00000071011, 1, 21.7499408,0.000000000,0.000000000,0.219512195,0.500000000,0.187500000,0.238095238
 180,ENSDARG00000110545,CABZ01113373.1,protein_coding,   16.40919,-5.699990,0.9269043,-6.149492,7.773164e-10,9.361480e-08,0.000000e+00,  42.048553,  32.075327,  39.4419760,  33.3160711,  30.1683984,    0.000000,    0.000000,   2.2599628,   0.000000,    1.190838,18,50852359,50864939, 12581,-,CABZ01113373.1,ENSDARG00000110545, 2,-16.5573263,0.726092090,0.839882943,0.820535714,0.631108985,0.615028249,0.561150500
 185,ENSDARG00000098512,si:ch73-215f7.1,protein_coding, 1018.86658, 2.393792,0.3904774, 6.130423,8.764569e-10,1.027018e-07,2.110084e+03, 199.177356, 361.738407, 401.3801087, 258.1995509, 312.6543111, 2849.744694, 1663.751464, 538.6244728, 644.944479, 1867.233589,10,43499821,43542196, 42376,-,si:ch73-215f7.1,ENSDARG00000098512, 7,-13.5742656,0.820118077,0.877885768,0.842653157,0.720377266,0.657353338,0.769315023
 203,ENSDARG00000051879,abcc8,protein_coding,   20.04531,-6.807881,1.1273574,-6.038796,1.552687e-09,1.658086e-07,0.000000e+00, 110.654087,  21.383551,  34.0283714,  15.9008521,  37.0248526,    0.000000,    0.000000,   1.5066419,   0.000000,    0.000000,25,22717852,22849186,131335,+,abcc8,ENSDARG00000051879, 1,-49.3785311,0.733333333,0.894736842,0.923076923,0.200000000,0.242424242,0.750000000
 207,ENSDARG00000014280,dlgap1a,protein_coding,   19.19808,-6.345934,1.0533887,-6.024305,1.698380e-09,1.778622e-07,0.000000e+00,  81.884024,  33.857289,  37.1218598,  27.2586036,  28.7971076,    0.000000,    0.000000,   2.2599628,   0.000000,    0.000000,2,29489314,29692825,203512,+,dlgap1a,ENSDARG00000014280, 5, 10.3039833,0.567551769,0.649977827,0.622167800,0.746509220,0.693759526,0.730769071
 208,ENSDARG00000041062,calb2a,protein_coding,  218.71074,-2.909950,0.4832007,-6.022239,1.720208e-09,1.792820e-07,1.610028e+01, 676.096470, 719.912889, 313.2156917, 216.5544620, 148.0994105,   57.027481,   62.301313,  36.1594052,  55.557015,  104.793722,18,21198762,21220851, 22090,-,calb2a,ENSDARG00000041062, 3,  4.7076503,0.481481481,0.466666667,0.307692308,0.518440860,0.329833543,0.528752060
 213,ENSDARG00000098631,CABZ01044277.1,protein_coding,   19.12709,-5.551200,0.9246689,-6.003446,1.931727e-09,1.966008e-07,0.000000e+00,  27.663522,  24.056495,  70.3768591,  53.0028404,  30.1683984,    0.000000,    0.000000,   1.5066419,   3.623284,    0.000000,13, 1533511, 1543927, 10417,+,CABZ01044277.1,ENSDARG00000098631, 1,-20.1737181,0.727272727,0.704545455,0.928571429,0.680000000,0.242424242,0.892857143
 216,ENSDARG00000089292,adgrl1a,protein_coding,   78.24102,-3.341104,0.5569803,-5.998603,1.990219e-09,1.997406e-07,2.651811e+01, 229.053959, 169.286447, 119.0993001, 149.9223199, 101.4755220,   27.699062,    0.000000,  13.5597769,  15.700896,    8.335864,3,47498433,47878427,379995,-,adgrl1a,ENSDARG00000089292, 6, 28.5751810,0.514109347,0.599801676,0.463541667,0.801920341,0.788888889,0.838381410
 218,ENSDARG00000060877,edil3b,protein_coding,   19.15829,-3.982796,0.6657963,-5.982003,2.204097e-09,2.191762e-07,4.735377e+00,  49.794339,  29.402383,  39.4419760,  39.3735385,  37.7104981,    4.888070,    0.000000,   3.0132838,   0.000000,    2.381675,10,43355895,43406027, 50133,-,edil3b,ENSDARG00000060877, 2,-20.8381927,0.590279823,0.403750478,0.431746032,0.322033898,0.212777778,0.330000000
 229,ENSDARG00000099927,dpf1,protein_coding,   93.03190,-2.087732,0.3522587,-5.926701,3.090805e-09,2.925147e-07,4.924792e+01, 170.407294, 235.219063, 166.2749969, 136.2930180,  91.1908407,   26.069706,   19.405327,  48.9658612,  35.025075,   45.251834,15,14257232,14377571,120340,-,dpf1,ENSDARG00000099927, 1, 18.6615983,0.838709677,0.750000000,0.702702703,1.000000000,0.937500000,0.935064935
 239,ENSDARG00000074310,rbfox3b,protein_coding,   11.34362,-6.459247,1.0949820,-5.898953,3.658160e-09,3.318058e-07,0.000000e+00,  33.196226,  24.056495,  15.4674416,  15.9008521,  34.9679164,    0.000000,    0.000000,   0.0000000,   0.000000,    1.190838,3, 8323586, 8544577,220992,-,rbfox3b,ENSDARG00000074310, 6, 24.2612593,0.281712512,0.520901150,0.451073164,0.653262444,0.659067118,0.632977038
 254,ENSDARG00000105447,si:ch211-129p13.1,protein_coding,  180.24642,-3.287413,0.5616344,-5.853298,4.819201e-09,4.122328e-07,1.079666e+02, 470.279869, 171.068409, 578.4823146, 371.0198825, 176.2108727,   22.810992,   21.447993,  40.6793308,   8.454328,   14.290053,18,43363890,43440181, 76292,+,si:ch211-129p13.1,ENSDARG00000105447, 1,-33.8983051,0.250000000,0.222222222,0.617647059,0.000000000,0.000000000,0.000000000
 263,ENSDARG00000062880,cntn3a.1,protein_coding,   21.69151,-5.484415,0.9414289,-5.825629,5.689792e-09,4.689859e-07,3.788302e+00,  86.310188,  27.620420,  28.6147669,  69.6608759,  20.5693626,    0.000000,    2.042666,   0.0000000,   0.000000,    0.000000,23,11667109,11861393,194285,+,cntn3a.1,ENSDARG00000062880, 7, 10.1616411,0.769280425,0.858366292,0.754578755,0.872212135,0.910215396,0.856313809
 298,ENSDARG00000098161,cntn4,protein_coding,   26.63134,-6.042163,1.0560701,-5.721365,1.056714e-08,7.687059e-07,3.788302e+00, 123.932577,  77.515373,  39.4419760,  40.8879054,   6.1708088,    0.000000,    0.000000,   0.0000000,   1.207761,    0.000000,6,45492227,45838103,345877,+,cntn4,ENSDARG00000098161, 3,  9.9178704,0.669590643,0.362573099,0.545845005,0.666666667,0.490354090,0.604238854
 314,ENSDARG00000079840,kcnma1a,protein_coding,  113.77130,-2.893818,0.5104486,-5.669167,1.434937e-08,9.906547e-07,5.208915e+01, 421.592070, 170.177428, 218.0909261, 194.5961424,  74.0497053,   11.405496,   45.959985,  16.5730607,  36.232836,   10.717540,13,16519898,16886118,366221,+,kcnma1a,ENSDARG00000079840, 1, 17.9037600,1.000000000,0.795454545,0.656250000,0.950000000,1.000000000,0.928571429
 315,ENSDARG00000034291,rpl37,protein_coding,10751.95687, 2.073326,0.3662116, 5.661552,1.500099e-08,1.032354e-06,2.066803e+04,3057.372416,5672.877926,4533.5071235,2655.4423016,3628.4355578,29145.930869,21251.897156,5715.4459787,9618.610165,12323.979852,21, 5194602, 5207653, 13052,-,rpl37,ENSDARG00000034291, 1,-15.4890286,0.927419355,0.914285714,0.913793103,0.657894737,0.826446281,0.808510638
 322,ENSDARG00000099217,zgc:109982,protein_coding,   12.33563,-7.073267,1.2519467,-5.649815,1.606207e-08,1.081346e-06,0.000000e+00,  52.007421,  16.037663,  29.3881390,  34.8304379,   3.4282271,    0.000000,    0.000000,   0.0000000,   0.000000,    0.000000,6,24076954,24089279, 12326,-,zgc:109982,ENSDARG00000099217, 1, 21.3652482,0.809523810,0.692307692,0.692307692,0.941176471,1.000000000,0.916666667
 326,ENSDARG00000020057,bmpr2b,protein_coding,  184.43376,-2.117640,0.3752899,-5.642677,1.674263e-08,1.113333e-06,1.164903e+02, 236.799746, 147.902896, 315.5358080, 567.8875752, 322.2533470,   60.286194,   87.834638,  81.3586616,  51.933731,   40.488483,9,12957760,13111163,153404,+,bmpr2b,ENSDARG00000020057, 1, 21.7864924,0.750000000,0.666666667,0.829268293,0.958333333,1.000000000,0.944444444
 332,ENSDARG00000095170,lrrfip1b,protein_coding,   99.24400,-2.430761,0.4325901,-5.619087,1.919692e-08,1.253466e-06,5.587745e+01, 165.981130, 163.049578, 194.8897638, 271.0716692,  98.0472949,   42.363272,   48.002651,  24.8595911,  10.869851,   16.671728,6,15526769,15606417, 79649,-,lrrfip1b,ENSDARG00000095170, 1,-26.9214836,0.595394737,0.894531250,0.479245283,0.333333333,0.361344538,0.443768997
 347,ENSDARG00000063332,shank3a,protein_coding,   20.54214,-4.070364,0.7294458,-5.580078,2.404112e-08,1.501912e-06,4.735377e+00,  63.072829,  45.440046,  53.3626734,  34.0732545,  15.0841992,    0.000000,    1.021333,   0.7533209,   6.038806,    2.381675,18, 7663802, 8032073,368272,-,shank3a,ENSDARG00000063332, 5, 17.5989650,0.602599573,0.540761357,0.571755653,0.733926779,0.822301506,0.700016739
 350,ENSDARG00000055570,gpr61,protein_coding,   10.08736,-6.786701,1.2187201,-5.568712,2.566298e-08,1.589491e-06,0.000000e+00,  15.491572,  19.601589,  37.8952318,  31.8017042,   6.1708088,    0.000000,    0.000000,   0.0000000,   0.000000,    0.000000,8,25171317,25177767,  6451,+,gpr61,ENSDARG00000055570, 1, 24.6719160,0.666666667,0.739130435,0.595744681,0.910447761,0.937500000,0.892857143
 353,ENSDARG00000043864,nptnb,protein_coding,  239.75861,-2.339248,0.4205692,-5.562101,2.665464e-08,1.636882e-06,1.581616e+02, 630.728294, 437.471817, 333.3233658, 482.3258472, 250.2605780,   47.251341,  111.325297, 114.5047830,  38.648358,   33.343457,18, 1158197, 1230688, 72492,-,nptnb,ENSDARG00000043864, 1, 24.0150094,0.720930233,0.545454545,0.764705882,0.882352941,0.972222222,0.878787879
 383,ENSDARG00000045873,frs2a,protein_coding,   40.66813,-3.174802,0.5790796,-5.482496,4.193661e-08,2.373634e-06,7.576603e+00,  37.622389,  49.894953,  88.9377890, 110.5487813, 107.6463308,    3.258713,    5.106665,   4.5199256,   6.038806,   26.198430,4, 2090683, 2099581,  8899,+,frs2a,ENSDARG00000045873, 1, 72.1450617,0.161764706,0.211538462,0.458333333,0.941176471,0.947368421,0.964285714
 388,ENSDARG00000036051,irx4b,protein_coding,  196.59991,-2.216005,0.4056015,-5.463502,4.668322e-08,2.608244e-06,9.660169e+01, 580.933955, 240.564951, 371.9919697, 247.5989828, 277.0007493,  118.943032,   71.493310,  65.5389219,  16.908657,   75.022778,19,28112503,28262897,150395,+,irx4b,ENSDARG00000036051, 1, 25.8835241,0.076923077,0.333333333,0.684210526,0.615384615,0.647058824,0.800000000
 403,ENSDARG00000115501,shisa6,protein_coding,   10.58655,-5.865253,1.0799811,-5.430885,5.607535e-08,3.016381e-06,0.000000e+00,  29.876603,  13.364719,  17.0141857,  32.5588876,  21.2550080,    1.629357,    0.000000,   0.7533209,   0.000000,    0.000000,12,    9059,   13570,  4512,-,shisa6,ENSDARG00000115501, 9, 17.8347448,0.271535529,0.078288488,0.021319183,0.436011423,0.298447904,0.432509476
 423,ENSDARG00000105190,rhbdl3,protein_coding,  122.32486,-2.628744,0.4887144,-5.378897,7.494362e-08,3.840728e-06,7.860726e+01, 194.751193, 188.888035, 297.7482502, 224.1262963, 221.4634704,   53.768768,    6.127998,  42.9392936,  16.908657,   20.244242,6,18623492,18700669, 77178,-,rhbdl3,ENSDARG00000105190, 2, 24.9965278,0.500000000,0.623949580,0.440705128,0.831669227,0.790106952,0.732514881
 425,ENSDARG00000056294,si:ch211-183d21.3,protein_coding,   15.04522,-4.610287,0.8574753,-5.376583,7.591272e-08,3.872085e-06,3.788302e+00,  36.515849,  33.857289,  32.4816273,  24.9870533,  30.8540439,    0.000000,    0.000000,   3.0132838,   0.000000,    0.000000,24,37359089,37375262, 16174,+,si:ch211-183d21.3,ENSDARG00000056294, 2, 27.8471560,0.646198830,0.382575758,0.174208145,0.665475189,0.761904762,0.683035714
 435,ENSDARG00000075012,glra2,protein_coding,   10.16127,-6.790220,1.2675534,-5.356950,8.463868e-08,4.217925e-06,0.000000e+00,  59.753207,  16.928645,  13.9206974,  13.6293018,   7.5420996,    0.000000,    0.000000,   0.0000000,   0.000000,    0.000000,9,54889962,54940881, 50920,+,glra2,ENSDARG00000075012, 1, 35.5588163,0.733333333,0.200000000,0.500000000,0.750000000,0.952380952,0.357142857
 444,ENSDARG00000101704,lrrc24,protein_coding,   14.52466,-6.323831,1.1857972,-5.332979,9.661472e-08,4.717148e-06,0.000000e+00,  37.622389,  36.530233,  54.1360455,  24.9870533,   4.1138725,    0.000000,    0.000000,   0.0000000,   0.000000,    2.381675,2,51181320,51199922, 18603,+,lrrc24,ENSDARG00000101704, 1, 17.3884298,0.840000000,0.819672131,0.615384615,0.907407407,0.947368421,0.958333333
 467,ENSDARG00000077101,zbtb10,protein_coding,  143.90083,-2.057688,0.3891941,-5.287050,1.243047e-07,5.770188e-06,9.186631e+01, 254.504399, 178.196260, 219.6376703, 361.1764978, 217.3495979,   42.363272,   46.981318, 104.7116108,  44.687164,   21.435079,19,31878454,31902893, 24440,-,zbtb10,ENSDARG00000077101, 1, 20.3828928,0.925000000,0.410256410,0.846153846,0.930693069,0.951219512,0.921568627
 475,ENSDARG00000077710,nlgn1,protein_coding,   19.21093,-5.592654,1.0601679,-5.275253,1.325731e-07,6.050358e-06,4.735377e+00,  81.884024,  51.676915,  21.6544182,  21.2011361,  30.1683984,    0.000000,    0.000000,   0.0000000,   0.000000,    0.000000,11, 9564154, 9987415,423262,-,nlgn1,ENSDARG00000077710, 2,-37.7550677,0.968750000,0.493055556,0.776595745,0.258064516,0.514084507,0.163157895
 477,ENSDARG00000102310,si:ch211-156l18.8,protein_coding,   42.12357,-5.034019,0.9550623,-5.270881,1.357707e-07,6.170309e-06,1.041783e+01, 201.390438, 102.462849,  52.5893013,  78.7470771,  11.6559721,    4.888070,    0.000000,   0.0000000,   1.207761,    0.000000,11,12050791,12092178, 41388,+,si:ch211-156l18.8,ENSDARG00000102310, 2, 29.0532096,0.352941176,0.603276353,0.294117647,0.721269647,0.703703704,0.800000000
 483,ENSDARG00000017294,gnai2b,protein_coding,  134.62478,-2.115573,0.4030986,-5.248276,1.535289e-07,6.890680e-06,4.830084e+01, 318.683770, 294.914810, 198.7566241, 191.5674087, 154.9558647,   86.355900,   79.663974,  41.4326518,  53.141493,   13.099215,6,53050166,53146336, 96171,-,gnai2b,ENSDARG00000017294, 1,-17.6142698,0.733333333,0.909090909,0.872340426,0.500000000,0.736842105,0.764705882
 504,ENSDARG00000099720,evlb,protein_coding,   88.27703,-2.237014,0.4291585,-5.212560,1.862520e-07,8.018524e-06,4.640669e+01, 178.153080, 142.557008, 180.1956943, 167.3375388, 104.2181037,   61.915551,    9.191997,  23.3529492,  39.856119,   17.862566,20,54437053,54464551, 27499,-,evlb,ENSDARG00000099720, 1, 16.2671233,0.780821918,0.731707317,0.531250000,1.000000000,0.868421053,0.785714286
 518,ENSDARG00000113702,RIMS2,protein_coding,   43.33471,-2.739177,0.5285015,-5.182913,2.184475e-07,9.141903e-06,1.041783e+01, 101.801760,  49.894953, 106.7253468,  93.8907458,  52.1090519,   14.664209,   24.511992,  14.3130979,   1.207761,    7.145026,16,44435453,44651053,215601,-,RIMS2,ENSDARG00000113702, 2,-34.8878183,0.181818182,0.675438596,0.143589744,0.000000000,0.111111111,0.000000000
